city_id,city_name,lat,lon,datetime,pm10,pm2_5,carbon_monoxide,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,ozone,aqi
7701354,Azimpur,23.7298,90.3854,2022-08-05T00:00,25,16.7,252,,18.6,5.2,13,50
7701354,Azimpur,23.7298,90.3854,2022-08-05T01:00,18.5,12.3,249,,18.5,5.7,19,50
7701354,Azimpur,23.7298,90.3854,2022-08-05T02:00,16.1,10.9,244,,18.4,6.5,27,51
7701354,Azimpur,23.7298,90.3854,2022-08-05T03:00,15.4,10.3,233,,17.2,6.9,39,51
7701354,Azimpur,23.7298,90.3854,2022-08-05T04:00,16.8,11.3,217,,14.8,6.2,51,51
7701354,Azimpur,23.7298,90.3854,2022-08-05T05:00,20.8,14,197,,11.4,4.9,63,51
7701354,Azimpur,23.7298,90.3854,2022-08-05T06:00,20,13.5,176,,8.5,3.6,76,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T07:00,19.9,13.5,169,,8.1,3.4,80,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T08:00,21.7,14.7,167,,8.6,3.6,81,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T09:00,20.4,13.9,175,,11.9,3.8,74,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T10:00,16.4,11.2,188,,18,3.8,59,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T11:00,14.2,9.7,207,,26,3.9,37,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T12:00,16.8,11.5,279,,38.5,3.3,18,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T13:00,17.1,11.7,357,,37,4.1,15,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T14:00,19.9,13.6,466,,34.8,5.1,11,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T15:00,23.7,16.2,552,,32,5.9,7,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T16:00,21.8,14.8,515,,30.4,5.9,7,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T17:00,20.6,13.8,427,,29,5.4,7,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T18:00,19.8,13.2,320,,26.5,4.9,10,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T19:00,19.3,12.9,277,,23.4,4.8,14,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T20:00,19.2,12.9,246,,19.7,4.7,18,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T21:00,19.5,13.2,224,,16.5,4.7,22,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T22:00,20.1,13.8,227,,16.8,4.8,21,52
7701354,Azimpur,23.7298,90.3854,2022-08-05T23:00,20.8,14.3,243,,18.5,5.1,17,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T00:00,17.7,12,218,,16.5,3.3,17,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T01:00,15.4,10.5,235,,18.1,3.3,17,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T02:00,13.7,9.3,258,,20.4,3.5,17,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T03:00,14.7,10.1,279,,22.1,3.6,19,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T04:00,16.2,11.2,276,,21.3,3.8,24,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T05:00,18.7,13,264,,19.5,4,32,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T06:00,22.6,15.6,251,,18,4.3,42,51
7701354,Azimpur,23.7298,90.3854,2022-08-06T07:00,28.1,19.4,247,,18.2,5,50,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T08:00,27.9,19.3,246,,19.3,5.8,58,52
7701354,Azimpur,23.7298,90.3854,2022-08-06T09:00,26.8,18.6,260,,23.3,6.4,61,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T10:00,22.6,15.7,293,,30.4,6.2,51,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T11:00,18,12.5,339,,39.8,5.4,34,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T12:00,21.4,14.8,305,,49.2,5.4,30,54
7701354,Azimpur,23.7298,90.3854,2022-08-06T13:00,22.8,15.8,326,,47.8,4.8,26,54
7701354,Azimpur,23.7298,90.3854,2022-08-06T14:00,19.2,13.3,356,,46,4.1,19,54
7701354,Azimpur,23.7298,90.3854,2022-08-06T15:00,17.1,11.7,372,,42.2,3.2,14,54
7701354,Azimpur,23.7298,90.3854,2022-08-06T16:00,16.2,11.1,345,,37.8,3,15,54
7701354,Azimpur,23.7298,90.3854,2022-08-06T17:00,15.4,10.4,299,,32.5,3,18,54
7701354,Azimpur,23.7298,90.3854,2022-08-06T18:00,14.8,10,247,,26,3.2,23,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T19:00,15.3,10.4,232,,21.8,3.5,25,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T20:00,15.9,10.9,227,,17.9,3.9,27,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T21:00,16.8,11.5,227,,14.7,4.8,28,53
7701354,Azimpur,23.7298,90.3854,2022-08-06T22:00,18.2,12.6,232,,14.9,5.8,26,52
